medal_type,medal_code,medal_date,name,gender,discipline,event,event_type,url_event,code,country_code,country
Silver Medal,2,45504,Perris BENEGAS,W,Cycling BMX Freestyle,Women's Park,ATH,/en/paris-2024/results/cycling-bmx-freestyle/women-s-park/fnl-000100--,1955071,USA,United States
Bronze Medal,3,45504,Natalya DIEHM,W,Cycling BMX Freestyle,Women's Park,ATH,/en/paris-2024/results/cycling-bmx-freestyle/women-s-park/fnl-000100--,1940118,AUS,Australia
Gold Medal,1,45504,China,W,Diving,Women's Synchronised 10m Platform,TEAM,/en/paris-2024/results/diving/women-s-synchronised-10m-platform/fnl-000100--,DIVW10MTEAM2CHN01,CHN,China
Silver Medal,2,45504,DPR Korea,W,Diving,Women's Synchronised 10m Platform,TEAM,/en/paris-2024/results/diving/women-s-synchronised-10m-platform/fnl-000100--,DIVW10MTEAM2PRK01,PRK,DPR Korea
Bronze Medal,3,45504,Great Britain,W,Diving,Women's Synchronised 10m Platform,TEAM,/en/paris-2024/results/diving/women-s-synchronised-10m-platform/fnl-000100--,DIVW10MTEAM2GBR01,GBR,Great Britain
Gold Medal,1,45504,Korea,M,Fencing,Men's Sabre Team,HTEAM,/en/paris-2024/results/fencing/men-s-sabre-team/fnl-000100--,FENMTEAMSABRKOR01,KOR,Korea
Silver Medal,2,45504,Hungary,M,Fencing,Men's Sabre Team,HTEAM,/en/paris-2024/results/fencing/men-s-sabre-team/fnl-000100--,FENMTEAMSABRHUN01,HUN,Hungary
Bronze Medal,3,45504,France,M,Fencing,Men's Sabre Team,HTEAM,/en/paris-2024/results/fencing/men-s-sabre-team/fnl-000200--,FENMTEAMSABRFRA01,FRA,France
Gold Medal,1,45504,Lasha BEKAURI,M,Judo,Men -90 kg,HATH,/en/paris-2024/results/judo/men--90-kg/fnl-000100--,1548817,GEO,Georgia
Silver Medal,2,45504,MURAO Sanshiro,M,Judo,Men -90 kg,HATH,/en/paris-2024/results/judo/men--90-kg/fnl-000100--,1896750,JPN,Japan
Bronze Medal,3,45504,Maxime-Gael NGAYAP HAMBOU,M,Judo,Men -90 kg,HATH,/en/paris-2024/results/judo/men--90-kg/repf000100--,1891318,FRA,France
Bronze Medal,3,45504,Theodoros TSELIDIS,M,Judo,Men -90 kg,HATH,/en/paris-2024/results/judo/men--90-kg/repf000200--,1961318,GRE,Greece
Gold Medal,1,45504,Barbara MATIC,W,Judo,Women -70 kg,HATH,/en/paris-2024/results/judo/women--70-kg/fnl-000100--,1898499,CRO,Croatia
Silver Medal,2,45504,Miriam BUTKEREIT,W,Judo,Women -70 kg,HATH,/en/paris-2024/results/judo/women--70-kg/fnl-000100--,1563082,GER,Germany
Bronze Medal,3,45504,Michaela POLLERES,W,Judo,Women -70 kg,HATH,/en/paris-2024/results/judo/women--70-kg/repf000100--,1566421,AUT,Austria
Bronze Medal,3,45504,Gabriella WILLEMS,W,Judo,Women -70 kg,HATH,/en/paris-2024/results/judo/women--70-kg/repf000200--,1903248,BEL,Belgium
Gold Medal,1,45504,Netherlands,M,Rowing,Men's Quadruple Sculls,TEAM,/en/paris-2024/results/rowing/men-s-quadruple-sculls/fnl---------,ROWMSCULL4--NED01,NED,Netherlands
Silver Medal,2,45504,Italy,M,Rowing,Men's Quadruple Sculls,TEAM,/en/paris-2024/results/rowing/men-s-quadruple-sculls/fnl---------,ROWMSCULL4--ITA01,ITA,Italy
Bronze Medal,3,45504,Poland,M,Rowing,Men's Quadruple Sculls,TEAM,/en/paris-2024/results/rowing/men-s-quadruple-sculls/fnl---------,ROWMSCULL4--POL01,POL,Poland
Gold Medal,1,45504,Great Britain,W,Rowing,Women's Quadruple Sculls,TEAM,/en/paris-2024/results/rowing/women-s-quadruple-sculls/fnl---------,ROWWSCULL4--GBR01,GBR,Great Britain
Silver Medal,2,45504,Netherlands,W,Rowing,Women's Quadruple Sculls,TEAM,/en/paris-2024/results/rowing/women-s-quadruple-sculls/fnl---------,ROWWSCULL4--NED01,NED,Netherlands
Bronze Medal,3,45504,Germany,W,Rowing,Women's Quadruple Sculls,TEAM,/en/paris-2024/results/rowing/women-s-quadruple-sculls/fnl---------,ROWWSCULL4--GER01,GER,Germany
Gold Medal,1,45504,Adriana RUANO OLIVA,W,Shooting,Trap Women,ATH,/en/paris-2024/results/shooting/trap-women/fnl-000100--,1958899,GUA,Guatemala
Silver Medal,2,45504,Silvana Maria STANCO,W,Shooting,Trap Women,ATH,/en/paris-2024/results/shooting/trap-women/fnl-000100--,1915317,ITA,Italy
Bronze Medal,3,45504,Penny SMITH,W,Shooting,Trap Women,ATH,/en/paris-2024/results/shooting/trap-women/fnl-000100--,1967454,AUS,Australia
Gold Medal,1,45504,PAN Zhanle,M,Swimming,Men's 100m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-100m-freestyle/fnl-000100--,1945148,CHN,China
Silver Medal,2,45504,Kyle CHALMERS,M,Swimming,Men's 100m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-100m-freestyle/fnl-000100--,1946200,AUS,Australia
Bronze Medal,3,45504,David POPOVICI,M,Swimming,Men's 100m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-100m-freestyle/fnl-000100--,1543549,ROU,Romania
Gold Medal,1,45504,Leon MARCHAND,M,Swimming,Men's 200m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-200m-breaststroke/fnl-000100--,1909294,FRA,France
Silver Medal,2,45504,Zac STUBBLETY-COOK,M,Swimming,Men's 200m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-200m-breaststroke/fnl-000100--,1946185,AUS,Australia
Bronze Medal,3,45504,Caspar CORBEAU,M,Swimming,Men's 200m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-200m-breaststroke/fnl-000100--,1972545,NED,Netherlands
Gold Medal,1,45504,Leon MARCHAND,M,Swimming,Men's 200m Butterfly,ATH,/en/paris-2024/results/swimming/men-s-200m-butterfly/fnl-000100--,1909294,FRA,France
Silver Medal,2,45504,Kristof MILAK,M,Swimming,Men's 200m Butterfly,ATH,/en/paris-2024/results/swimming/men-s-200m-butterfly/fnl-000100--,1905860,HUN,Hungary
Bronze Medal,3,45504,Ilya KHARUN,M,Swimming,Men's 200m Butterfly,ATH,/en/paris-2024/results/swimming/men-s-200m-butterfly/fnl-000100--,1967058,CAN,Canada
Gold Medal,1,45504,Sarah SJOESTROEM,W,Swimming,Women's 100m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-100m-freestyle/fnl-000100--,1572557,SWE,Sweden
Silver Medal,2,45504,Torri HUSKE,W,Swimming,Women's 100m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-100m-freestyle/fnl-000100--,1935923,USA,United States
Bronze Medal,3,45504,HAUGHEY Siobhan Bernadette,W,Swimming,Women's 100m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-100m-freestyle/fnl-000100--,1925125,HKG,"Hong Kong, China"
Gold Medal,1,45504,Katie LEDECKY,W,Swimming,Women's 1500m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-1500m-freestyle/fnl-000100--,1935938,USA,United States
Silver Medal,2,45504,Anastasiia KIRPICHNIKOVA,W,Swimming,Women's 1500m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-1500m-freestyle/fnl-000100--,1909209,FRA,France
Bronze Medal,3,45504,Isabel GOSE,W,Swimming,Women's 1500m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-1500m-freestyle/fnl-000100--,1907171,GER,Germany
Gold Medal,1,45504,Alex YEE,M,Triathlon,Men's Individual,ATH,/en/paris-2024/results/triathlon/men-s-individual/fnl-000100--,1904251,GBR,Great Britain
Silver Medal,2,45504,Hayden WILDE,M,Triathlon,Men's Individual,ATH,/en/paris-2024/results/triathlon/men-s-individual/fnl-000100--,1926549,NZL,New Zealand
Bronze Medal,3,45504,Leo BERGERE,M,Triathlon,Men's Individual,ATH,/en/paris-2024/results/triathlon/men-s-individual/fnl-000100--,1543967,FRA,France
Gold Medal,1,45504,Cassandre BEAUGRAND,W,Triathlon,Women's Individual,ATH,/en/paris-2024/results/triathlon/women-s-individual/fnl-000100--,1543963,FRA,France
Silver Medal,2,45504,Julie DERRON,W,Triathlon,Women's Individual,ATH,/en/paris-2024/results/triathlon/women-s-individual/fnl-000100--,1976489,SUI,Switzerland
Bronze Medal,3,45504,Beth POTTER,W,Triathlon,Women's Individual,ATH,/en/paris-2024/results/triathlon/women-s-individual/fnl-000100--,1904244,GBR,Great Britain
Gold Medal,1,45505,Simone BILES,W,Artistic Gymnastics,Women's All-Around,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-all-around/fnl-000001--,1959861,USA,United States
Silver Medal,2,45505,Rebeca ANDRADE,W,Artistic Gymnastics,Women's All-Around,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-all-around/fnl-000001--,1953634,BRA,Brazil
Bronze Medal,3,45505,Sunisa LEE,W,Artistic Gymnastics,Women's All-Around,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-all-around/fnl-000001--,1959866,USA,United States
Gold Medal,1,45505,Brian Daniel PINTADO,M,Athletics,Men's 20km Race Walk,ATH,/en/paris-2024/results/athletics/men-s-20km-race-walk/fnl-000100--,1929767,ECU,Ecuador
Silver Medal,2,45505,Caio BONFIM,M,Athletics,Men's 20km Race Walk,ATH,/en/paris-2024/results/athletics/men-s-20km-race-walk/fnl-000100--,1951928,BRA,Brazil
Bronze Medal,3,45505,Alvaro MARTIN,M,Athletics,Men's 20km Race Walk,ATH,/en/paris-2024/results/athletics/men-s-20km-race-walk/fnl-000100--,1904165,ESP,Spain
Gold Medal,1,45505,YANG Jiayu,W,Athletics,Women's 20km Race Walk,ATH,/en/paris-2024/results/athletics/women-s-20km-race-walk/fnl-000100--,1919002,CHN,China
Silver Medal,2,45505,Maria PEREZ,W,Athletics,Women's 20km Race Walk,ATH,/en/paris-2024/results/athletics/women-s-20km-race-walk/fnl-000100--,1905369,ESP,Spain
Bronze Medal,3,45505,Jemima MONTAG,W,Athletics,Women's 20km Race Walk,ATH,/en/paris-2024/results/athletics/women-s-20km-race-walk/fnl-000100--,1939791,AUS,Australia
Gold Medal,1,45505,Giovanni de GENNARO,M,Canoe Slalom,Men's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-single/fnl-000100--,1550975,ITA,Italy
Silver Medal,2,45505,Titouan CASTRYCK,M,Canoe Slalom,Men's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-single/fnl-000100--,1880464,FRA,France
Bronze Medal,3,45505,Pau ECHANIZ,M,Canoe Slalom,Men's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-single/fnl-000100--,1953935,ESP,Spain
Gold Medal,1,45505,United States,W,Fencing,Women's Foil Team,HTEAM,/en/paris-2024/results/fencing/women-s-foil-team/fnl-000100--,FENWTEAMFOILUSA01,USA,United States
Silver Medal,2,45505,Italy,W,Fencing,Women's Foil Team,HTEAM,/en/paris-2024/results/fencing/women-s-foil-team/fnl-000100--,FENWTEAMFOILITA01,ITA,Italy
Bronze Medal,3,45505,Japan,W,Fencing,Women's Foil Team,HTEAM,/en/paris-2024/results/fencing/women-s-foil-team/fnl-000200--,FENWTEAMFOILJPN01,JPN,Japan
Gold Medal,1,45505,Zelym KOTSOIEV,M,Judo,Men -100 kg,HATH,/en/paris-2024/results/judo/men--100-kg/fnl-000100--,1972367,AZE,Azerbaijan
Silver Medal,2,45505,Ilia SULAMANIDZE,M,Judo,Men -100 kg,HATH,/en/paris-2024/results/judo/men--100-kg/fnl-000100--,1552370,GEO,Georgia
Bronze Medal,3,45505,Peter PALTCHIK,M,Judo,Men -100 kg,HATH,/en/paris-2024/results/judo/men--100-kg/repf000100--,1892957,ISR,Israel
Bronze Medal,3,45505,Muzaffarbek TUROBOYEV,M,Judo,Men -100 kg,HATH,/en/paris-2024/results/judo/men--100-kg/repf000200--,1565754,UZB,Uzbekistan
Gold Medal,1,45505,Alice BELLANDI,W,Judo,Women -78 kg,HATH,/en/paris-2024/results/judo/women--78-kg/fnl-000100--,1925349,ITA,Italy
Silver Medal,2,45505,Inbar LANIR,W,Judo,Women -78 kg,HATH,/en/paris-2024/results/judo/women--78-kg/fnl-000100--,1892794,ISR,Israel
Bronze Medal,3,45505,MA Zhenzhao,W,Judo,Women -78 kg,HATH,/en/paris-2024/results/judo/women--78-kg/repf000100--,1891067,CHN,China
Bronze Medal,3,45505,Patricia SAMPAIO,W,Judo,Women -78 kg,HATH,/en/paris-2024/results/judo/women--78-kg/repf000200--,1943504,POR,Portugal
Gold Medal,1,45505,Romania,M,Rowing,Men's Double Sculls,TEAM,/en/paris-2024/results/rowing/men-s-double-sculls/fnl---------,ROWMSCULL2--ROU01,ROU,Romania
Silver Medal,2,45505,Netherlands,M,Rowing,Men's Double Sculls,TEAM,/en/paris-2024/results/rowing/men-s-double-sculls/fnl---------,ROWMSCULL2--NED01,NED,Netherlands
Bronze Medal,3,45505,Ireland,M,Rowing,Men's Double Sculls,TEAM,/en/paris-2024/results/rowing/men-s-double-sculls/fnl---------,ROWMSCULL2--IRL01,IRL,Ireland
Gold Medal,1,45505,United States,M,Rowing,Men's Four,TEAM,/en/paris-2024/results/rowing/men-s-four/fnl---------,ROWMNOCOX4--USA01,USA,United States
Silver Medal,2,45505,New Zealand,M,Rowing,Men's Four,TEAM,/en/paris-2024/results/rowing/men-s-four/fnl---------,ROWMNOCOX4--NZL01,NZL,New Zealand
Bronze Medal,3,45505,Great Britain,M,Rowing,Men's Four,TEAM,/en/paris-2024/results/rowing/men-s-four/fnl---------,ROWMNOCOX4--GBR01,GBR,Great Britain
Gold Medal,1,45505,New Zealand,W,Rowing,Women's Double Sculls,TEAM,/en/paris-2024/results/rowing/women-s-double-sculls/fnl---------,ROWWSCULL2--NZL01,NZL,New Zealand
Silver Medal,2,45505,Romania,W,Rowing,Women's Double Sculls,TEAM,/en/paris-2024/results/rowing/women-s-double-sculls/fnl---------,ROWWSCULL2--ROU01,ROU,Romania
Bronze Medal,3,45505,Great Britain,W,Rowing,Women's Double Sculls,TEAM,/en/paris-2024/results/rowing/women-s-double-sculls/fnl---------,ROWWSCULL2--GBR01,GBR,Great Britain
Gold Medal,1,45505,Netherlands,W,Rowing,Women's Four,TEAM,/en/paris-2024/results/rowing/women-s-four/fnl---------,ROWWNOCOX4--NED01,NED,Netherlands
Silver Medal,2,45505,Great Britain,W,Rowing,Women's Four,TEAM,/en/paris-2024/results/rowing/women-s-four/fnl---------,ROWWNOCOX4--GBR01,GBR,Great Britain
Bronze Medal,3,45505,New Zealand,W,Rowing,Women's Four,TEAM,/en/paris-2024/results/rowing/women-s-four/fnl---------,ROWWNOCOX4--NZL01,NZL,New Zealand
Gold Medal,1,45505,LIU Yukun,M,Shooting,50m Rifle 3 Positions Men,ATH,/en/paris-2024/results/shooting/50m-rifle-3-positions-men/fnl-000100--,1913922,CHN,China
Silver Medal,2,45505,Serhiy KULISH,M,Shooting,50m Rifle 3 Positions Men,ATH,/en/paris-2024/results/shooting/50m-rifle-3-positions-men/fnl-000100--,1555976,UKR,Ukraine
Bronze Medal,3,45505,Swapnil KUSALE,M,Shooting,50m Rifle 3 Positions Men,ATH,/en/paris-2024/results/shooting/50m-rifle-3-positions-men/fnl-000100--,1538084,IND,India
Gold Medal,1,45505,Hubert KOS,M,Swimming,Men's 200m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-200m-backstroke/fnl-000100--,1904977,HUN,Hungary
Silver Medal,2,45505,Apostolos CHRISTOU,M,Swimming,Men's 200m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-200m-backstroke/fnl-000100--,1954557,GRE,Greece
Bronze Medal,3,45505,Roman MITYUKOV,M,Swimming,Men's 200m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-200m-backstroke/fnl-000100--,1977754,SUI,Switzerland
Gold Medal,1,45505,Kate DOUGLASS,W,Swimming,Women's 200m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-200m-breaststroke/fnl-000100--,1935895,USA,United States
Silver Medal,2,45505,Tatjana SMITH,W,Swimming,Women's 200m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-200m-breaststroke/fnl-000100--,1962589,RSA,South Africa
Bronze Medal,3,45505,Tes SCHOUTEN,W,Swimming,Women's 200m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-200m-breaststroke/fnl-000100--,1972525,NED,Netherlands
Gold Medal,1,45505,Summer McINTOSH,W,Swimming,Women's 200m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-200m-butterfly/fnl-000100--,1967140,CAN,Canada
Silver Medal,2,45505,Regan SMITH,W,Swimming,Women's 200m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-200m-butterfly/fnl-000100--,1935984,USA,United States
Bronze Medal,3,45505,ZHANG Yufei,W,Swimming,Women's 200m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-200m-butterfly/fnl-000100--,1945125,CHN,China
Gold Medal,1,45505,Australia,W,Swimming,Women's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-200m-freestyle-relay/fnl-000100--,SWMW4X200MFRAUS01,AUS,Australia
Silver Medal,2,45505,United States,W,Swimming,Women's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-200m-freestyle-relay/fnl-000100--,SWMW4X200MFRUSA01,USA,United States
Bronze Medal,3,45505,China,W,Swimming,Women's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-200m-freestyle-relay/fnl-000100--,SWMW4X200MFRCHN01,CHN,China
Gold Medal,1,45506,Korea,X,Archery,Mixed Team,HTEAM,/en/paris-2024/results/archery/mixed-team/fnl-000100--,ARCXTEAM2---KOR01,KOR,Korea
Silver Medal,2,45506,Germany,X,Archery,Mixed Team,HTEAM,/en/paris-2024/results/archery/mixed-team/fnl-000100--,ARCXTEAM2---GER01,GER,Germany
Bronze Medal,3,45506,United States,X,Archery,Mixed Team,HTEAM,/en/paris-2024/results/archery/mixed-team/fnl-000200--,ARCXTEAM2---USA01,USA,United States
Gold Medal,1,45506,Joshua CHEPTEGEI,M,Athletics,"Men's 10,000m",ATH,/en/paris-2024/results/athletics/men-s-10-000m/fnl-000100--,1970827,UGA,Uganda
Silver Medal,2,45506,Berihu AREGAWI,M,Athletics,"Men's 10,000m",ATH,/en/paris-2024/results/athletics/men-s-10-000m/fnl-000100--,1536998,ETH,Ethiopia
Bronze Medal,3,45506,Grant FISHER,M,Athletics,"Men's 10,000m",ATH,/en/paris-2024/results/athletics/men-s-10-000m/fnl-000100--,1960959,USA,United States
Gold Medal,1,45506,ZHENG/HUANG,X,Badminton,Mixed Doubles,HCOUP,/en/paris-2024/results/badminton/mixed-doubles/fnl-000100--,BDMXDOUBLES-CHN02,CHN,China
Silver Medal,2,45506,KIM/JEONG,X,Badminton,Mixed Doubles,HCOUP,/en/paris-2024/results/badminton/mixed-doubles/fnl-000100--,BDMXDOUBLES-KOR02,KOR,Korea
Bronze Medal,3,45506,WATANABE/HIGASHINO,X,Badminton,Mixed Doubles,HCOUP,/en/paris-2024/results/badminton/mixed-doubles/fnl-000200--,BDMXDOUBLES-JPN01,JPN,Japan
Gold Medal,1,45506,Joris DAUDET,M,Cycling BMX Racing,Men,ATH,/en/paris-2024/results/cycling-bmx-racing/men/fnl-000100--,1895661,FRA,France
Silver Medal,2,45506,Sylvain ANDRE,M,Cycling BMX Racing,Men,ATH,/en/paris-2024/results/cycling-bmx-racing/men/fnl-000100--,1895640,FRA,France
Bronze Medal,3,45506,Romain MAHIEU,M,Cycling BMX Racing,Men,ATH,/en/paris-2024/results/cycling-bmx-racing/men/fnl-000100--,1895700,FRA,France
Gold Medal,1,45506,Saya SAKAKIBARA,W,Cycling BMX Racing,Women,ATH,/en/paris-2024/results/cycling-bmx-racing/women/fnl-000100--,1940127,AUS,Australia
Silver Medal,2,45506,Manon VEENSTRA,W,Cycling BMX Racing,Women,ATH,/en/paris-2024/results/cycling-bmx-racing/women/fnl-000100--,1969181,NED,Netherlands
Bronze Medal,3,45506,Zoe CLAESSENS,W,Cycling BMX Racing,Women,ATH,/en/paris-2024/results/cycling-bmx-racing/women/fnl-000100--,1976480,SUI,Switzerland
Gold Medal,1,45506,China,M,Diving,Men's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/men-s-synchronised-3m-springboard/fnl-000100--,DIVM3MTEAM2-CHN01,CHN,China
Silver Medal,2,45506,Mexico,M,Diving,Men's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/men-s-synchronised-3m-springboard/fnl-000100--,DIVM3MTEAM2-MEX01,MEX,Mexico
Bronze Medal,3,45506,Great Britain,M,Diving,Men's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/men-s-synchronised-3m-springboard/fnl-000100--,DIVM3MTEAM2-GBR01,GBR,Great Britain
Gold Medal,1,45506,Great Britain,O,Equestrian,Jumping Team,TEAM,/en/paris-2024/results/equestrian/jumping-team/fnl-000100--,EQUOJUMPTEAMGBR01,GBR,Great Britain
Silver Medal,2,45506,United States,O,Equestrian,Jumping Team,TEAM,/en/paris-2024/results/equestrian/jumping-team/fnl-000100--,EQUOJUMPTEAMUSA01,USA,United States
Bronze Medal,3,45506,France,O,Equestrian,Jumping Team,TEAM,/en/paris-2024/results/equestrian/jumping-team/fnl-000100--,EQUOJUMPTEAMFRA01,FRA,France
Gold Medal,1,45506,Hungary,M,Fencing,Men's Épée Team,HTEAM,/en/paris-2024/results/fencing/men-s-epee-team/fnl-000100--,FENMTEAMEPEEHUN01,HUN,Hungary
Silver Medal,2,45506,Japan,M,Fencing,Men's Épée Team,HTEAM,/en/paris-2024/results/fencing/men-s-epee-team/fnl-000100--,FENMTEAMEPEEJPN01,JPN,Japan
Bronze Medal,3,45506,Czechia,M,Fencing,Men's Épée Team,HTEAM,/en/paris-2024/results/fencing/men-s-epee-team/fnl-000200--,FENMTEAMEPEECZE01,CZE,Czechia
Gold Medal,1,45506,Teddy RINER,M,Judo,Men +100 kg,HATH,/en/paris-2024/results/judo/men--plus-100-kg/fnl-000100--,1891323,FRA,France
Silver Medal,2,45506,KIM Minjong,M,Judo,Men +100 kg,HATH,/en/paris-2024/results/judo/men--plus-100-kg/fnl-000100--,1928072,KOR,Korea
Bronze Medal,3,45506,Temur RAKHIMOV,M,Judo,Men +100 kg,HATH,/en/paris-2024/results/judo/men--plus-100-kg/repf000100--,1567512,TJK,Tajikistan
Bronze Medal,3,45506,Alisher YUSUPOV,M,Judo,Men +100 kg,HATH,/en/paris-2024/results/judo/men--plus-100-kg/repf000200--,1566931,UZB,Uzbekistan
Gold Medal,1,45506,Beatriz SOUZA,W,Judo,Women +78 kg,HATH,/en/paris-2024/results/judo/women--plus-78-kg/fnl-000100--,1953777,BRA,Brazil
Silver Medal,2,45506,Raz HERSHKO,W,Judo,Women +78 kg,HATH,/en/paris-2024/results/judo/women--plus-78-kg/fnl-000100--,1892796,ISR,Israel
Bronze Medal,3,45506,KIM Hayun,W,Judo,Women +78 kg,HATH,/en/paris-2024/results/judo/women--plus-78-kg/repf000100--,1928070,KOR,Korea
Bronze Medal,3,45506,Romane DICKO,W,Judo,Women +78 kg,HATH,/en/paris-2024/results/judo/women--plus-78-kg/repf000200--,1891300,FRA,France
Gold Medal,1,45506,Ireland,M,Rowing,Lightweight Men's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-men-s-double-sculls/fnl---------,ROWMSCULL2-LIRL01,IRL,Ireland
Silver Medal,2,45506,Italy,M,Rowing,Lightweight Men's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-men-s-double-sculls/fnl---------,ROWMSCULL2-LITA01,ITA,Italy
Bronze Medal,3,45506,Greece,M,Rowing,Lightweight Men's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-men-s-double-sculls/fnl---------,ROWMSCULL2-LGRE01,GRE,Greece
Gold Medal,1,45506,Great Britain,W,Rowing,Lightweight Women's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-women-s-double-sculls/fnl---------,ROWWSCULL2-LGBR01,GBR,Great Britain
Silver Medal,2,45506,Romania,W,Rowing,Lightweight Women's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-women-s-double-sculls/fnl---------,ROWWSCULL2-LROU01,ROU,Romania
Bronze Medal,3,45506,Greece,W,Rowing,Lightweight Women's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-women-s-double-sculls/fnl---------,ROWWSCULL2-LGRE01,GRE,Greece
Gold Medal,1,45506,Croatia,M,Rowing,Men's Pair,TEAM,/en/paris-2024/results/rowing/men-s-pair/fnl---------,ROWMNOCOX2--CRO01,CRO,Croatia
Silver Medal,2,45506,Great Britain,M,Rowing,Men's Pair,TEAM,/en/paris-2024/results/rowing/men-s-pair/fnl---------,ROWMNOCOX2--GBR01,GBR,Great Britain
Bronze Medal,3,45506,Switzerland,M,Rowing,Men's Pair,TEAM,/en/paris-2024/results/rowing/men-s-pair/fnl---------,ROWMNOCOX2--SUI01,SUI,Switzerland
Gold Medal,1,45506,Netherlands,W,Rowing,Women's Pair,TEAM,/en/paris-2024/results/rowing/women-s-pair/fnl---------,ROWWNOCOX2--NED01,NED,Netherlands
Silver Medal,2,45506,Romania,W,Rowing,Women's Pair,TEAM,/en/paris-2024/results/rowing/women-s-pair/fnl---------,ROWWNOCOX2--ROU01,ROU,Romania
Bronze Medal,3,45506,Australia,W,Rowing,Women's Pair,TEAM,/en/paris-2024/results/rowing/women-s-pair/fnl---------,ROWWNOCOX2--AUS01,AUS,Australia
Gold Medal,1,45506,BOTIN/TRITTEL,M,Sailing,Men's Skiff,TEAM,/en/paris-2024/results/sailing/men-s-skiff/fnl-000100--,SALM49ER----ESP01,ESP,Spain
Silver Medal,2,45506,McHARDIE/McKENZIE,M,Sailing,Men's Skiff,TEAM,/en/paris-2024/results/sailing/men-s-skiff/fnl-000100--,SALM49ER----NZL01,NZL,New Zealand
Bronze Medal,3,45506,BARROWS/HENKEN,M,Sailing,Men's Skiff,TEAM,/en/paris-2024/results/sailing/men-s-skiff/fnl-000100--,SALM49ER----USA01,USA,United States
Gold Medal,1,45506,AANHOLT/DUETZ,W,Sailing,Women's Skiff,TEAM,/en/paris-2024/results/sailing/women-s-skiff/fnl-000100--,SALW49ERFX--NED01,NED,Netherlands
Silver Medal,2,45506,BOBECK/NETZLER,W,Sailing,Women's Skiff,TEAM,/en/paris-2024/results/sailing/women-s-skiff/fnl-000100--,SALW49ERFX--SWE01,SWE,Sweden
Bronze Medal,3,45506,STEYAERT/PICON,W,Sailing,Women's Skiff,TEAM,/en/paris-2024/results/sailing/women-s-skiff/fnl-000100--,SALW49ERFX--FRA01,FRA,France
Gold Medal,1,45506,Chiara LEONE,W,Shooting,50m Rifle 3 Positions Women,ATH,/en/paris-2024/results/shooting/50m-rifle-3-positions-women/fnl-000100--,1977709,SUI,Switzerland
Silver Medal,2,45506,Sagen MADDALENA,W,Shooting,50m Rifle 3 Positions Women,ATH,/en/paris-2024/results/shooting/50m-rifle-3-positions-women/fnl-000100--,1944373,USA,United States
Bronze Medal,3,45506,ZHANG Qiongyue,W,Shooting,50m Rifle 3 Positions Women,ATH,/en/paris-2024/results/shooting/50m-rifle-3-positions-women/fnl-000100--,1913972,CHN,China
Gold Medal,1,45506,Leon MARCHAND,M,Swimming,Men's 200m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-200m-individual-medley/fnl-000100--,1909294,FRA,France
Silver Medal,2,45506,Duncan SCOTT,M,Swimming,Men's 200m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-200m-individual-medley/fnl-000100--,1903621,GBR,Great Britain
